"","year","month","season","occ.sess","occasion","session","site","trt","food_trt","helm_trt","tag","firstcap","trap","x","y","sex","season_breeder"
"52",2021,"oct","fall","6.1",6,1,"puro","fed_deworm","fed","deworm","219622","1","G3",7,5,"F","nonbreeder"
"53",2021,"sept","fall","5.1",5,1,"vaarinkorpi","fed_control","fed","control","219623","1","A6",1,11,"F","nonbreeder"
"54",2021,"sept","fall","5.3",5,3,"vaarinkorpi","fed_control","fed","control","219623","0","A6",1,11,"F","nonbreeder"
"55",2021,"oct","fall","6.1",6,1,"vaarinkorpi","fed_control","fed","control","219623","0","C6",3,11,"F","nonbreeder"
"56",2021,"oct","fall","6.3",6,3,"vaarinkorpi","fed_control","fed","control","219623","0","C6",3,11,"F","nonbreeder"
"57",2021,"oct","fall","6.3",6,3,"mustikka","unfed_deworm","unfed","deworm","219624","1","J5",10,10,"M","nonbreeder"
"58",2021,"oct","fall","6.1",6,1,"vaarinkorpi","fed_control","fed","control","219626","1","C6",3,11,"M","nonbreeder"
"59",2021,"sept","fall","5.1",5,1,"helmipollo","unfed_control","unfed","control","219627","1","D1",4,2,"F","breeder"
"60",2021,"sept","fall","5.3",5,3,"helmipollo","unfed_control","unfed","control","219627","0","C1",3,1,"F","breeder"
"61",2021,"sept","fall","5.4",5,4,"helmipollo","unfed_control","unfed","control","219627","0","C1",3,1,"F","breeder"
"62",2021,"oct","fall","6.1",6,1,"helmipollo","unfed_control","unfed","control","219627","0","A1",1,1,"F","breeder"
"63",2021,"oct","fall","6.3",6,3,"helmipollo","unfed_control","unfed","control","219627","0","C1",3,1,"F","breeder"
"64",2021,"sept","fall","5.3",5,3,"radio","fed_control","fed","control","219628","1","I5",9,9,"M","nonbreeder"
"65",2021,"oct","fall","6.3",6,3,"puro","fed_deworm","fed","deworm","219629","1","G3",7,5,"M","nonbreeder"
"66",2021,"oct","fall","6.3",6,3,"puro","fed_deworm","fed","deworm","219630","1","G1",7,1,"F","nonbreeder"
"67",2021,"sept","fall","5.3",5,3,"ketunpesa","unfed_deworm","unfed","deworm","219631","1","A1",1,1,"M","nonbreeder"
"68",2021,"oct","fall","6.1",6,1,"ketunpesa","unfed_deworm","unfed","deworm","219631","0","C1",3,1,"M","nonbreeder"
"69",2021,"oct","fall","6.3",6,3,"ketunpesa","unfed_deworm","unfed","deworm","219631","0","C1",3,1,"M","nonbreeder"
"70",2021,"oct","fall","6.3",6,3,"puro","fed_deworm","fed","deworm","219632","1","E6",5,11,"F","nonbreeder"
"71",2021,"oct","fall","6.3",6,3,"vaarinkorpi","fed_control","fed","control","219633","1","K6",11,11,"M","nonbreeder"
"72",2021,"sept","fall","5.1",5,1,"vaarinkorpi","fed_control","fed","control","219634","1","F1",6,2,"M","breeder"
"73",2021,"sept","fall","5.3",5,3,"vaarinkorpi","fed_control","fed","control","219634","0","E1",5,1,"M","breeder"
"74",2021,"sept","fall","5.4",5,4,"vaarinkorpi","fed_control","fed","control","219634","0","E1",5,1,"M","breeder"
"75",2021,"oct","fall","6.1",6,1,"vaarinkorpi","fed_control","fed","control","219634","0","F1",6,2,"M","breeder"
"76",2021,"sept","fall","5.1",5,1,"vaarinkorpi","fed_control","fed","control","219635","1","J5",10,10,"F","nonbreeder"
"77",2021,"oct","fall","6.1",6,1,"puro","fed_deworm","fed","deworm","219636","1","G3",7,5,"F","nonbreeder"
"78",2021,"oct","fall","6.3",6,3,"puro","fed_deworm","fed","deworm","219636","0","H4",8,8,"F","nonbreeder"
"79",2021,"oct","fall","6.1",6,1,"ketunpesa","unfed_deworm","unfed","deworm","219637","1","K1",11,1,"F","nonbreeder"
"80",2021,"oct","fall","6.3",6,3,"ketunpesa","unfed_deworm","unfed","deworm","219637","0","K1",11,1,"F","nonbreeder"
"81",2021,"sept","fall","5.1",5,1,"hevonen","unfed_control","unfed","control","219638","1","D1",4,2,"F","nonbreeder"
"82",2021,"sept","fall","5.3",5,3,"hevonen","unfed_control","unfed","control","219638","0","A1",1,1,"F","nonbreeder"
"83",2021,"oct","fall","6.1",6,1,"hevonen","unfed_control","unfed","control","219638","0","E1",5,1,"F","nonbreeder"
"84",2021,"oct","fall","6.3",6,3,"hevonen","unfed_control","unfed","control","219638","0","E1",5,1,"F","nonbreeder"
"85",2021,"oct","fall","6.3",6,3,"helmipollo","unfed_control","unfed","control","219639","1","K5",11,9,"M","nonbreeder"
"86",2021,"sept","fall","5.1",5,1,"hevonen","unfed_control","unfed","control","219640","1","B2",2,4,"F","nonbreeder"
"87",2021,"sept","fall","5.3",5,3,"radio","fed_control","fed","control","219642","1","A3",1,5,"M","nonbreeder"
"88",2021,"oct","fall","6.1",6,1,"kuoppa","fed_control","fed","control","219643","1","D4",4,8,"M","breeder"
"89",2021,"oct","fall","6.3",6,3,"kuoppa","fed_control","fed","control","219643","0","D5",4,10,"M","breeder"
"90",2021,"oct","fall","6.4",6,4,"kuoppa","fed_control","fed","control","219643","0","C5",3,9,"M","breeder"
"91",2021,"sept","fall","5.1",5,1,"mustikka","unfed_deworm","unfed","deworm","219644","1","K4",11,7,"F","breeder"
"92",2021,"sept","fall","5.1",5,1,"hevonen","unfed_control","unfed","control","219645","1","A3",1,5,"M","nonbreeder"
"93",2021,"sept","fall","5.4",5,4,"hevonen","unfed_control","unfed","control","219645","0","A4",1,7,"M","nonbreeder"
"94",2021,"oct","fall","6.1",6,1,"hevonen","unfed_control","unfed","control","219645","0","A4",1,7,"M","nonbreeder"
"95",2021,"oct","fall","6.2",6,2,"hevonen","unfed_control","unfed","control","219645","0","C4",3,7,"M","nonbreeder"
"96",2021,"oct","fall","6.3",6,3,"hevonen","unfed_control","unfed","control","219645","0","A4",1,7,"M","nonbreeder"
"97",2021,"oct","fall","6.3",6,3,"vaarinkorpi","fed_control","fed","control","219646","1","D5",4,10,"M","nonbreeder"
"98",2021,"sept","fall","5.1",5,1,"vaarinkorpi","fed_control","fed","control","219648","1","K1",11,1,"M","breeder"
"99",2021,"sept","fall","5.3",5,3,"vaarinkorpi","fed_control","fed","control","219648","0","K1",11,1,"M","breeder"
"100",2021,"sept","fall","5.4",5,4,"vaarinkorpi","fed_control","fed","control","219648","0","K1",11,1,"M","breeder"
"101",2021,"oct","fall","6.1",6,1,"vaarinkorpi","fed_control","fed","control","219648","0","K1",11,1,"M","breeder"
"102",2021,"oct","fall","6.3",6,3,"vaarinkorpi","fed_control","fed","control","219648","0","K1",11,1,"M","breeder"
"103",2021,"oct","fall","6.4",6,4,"vaarinkorpi","fed_control","fed","control","219648","0","K1",11,1,"M","breeder"
"104",2021,"sept","fall","5.3",5,3,"kuoppa","fed_control","fed","control","219649","1","B2",2,4,"F","nonbreeder"
"105",2021,"oct","fall","6.2",6,2,"kuoppa","fed_control","fed","control","219649","0","D2",4,4,"F","nonbreeder"
"106",2021,"oct","fall","6.3",6,3,"kuoppa","fed_control","fed","control","219649","0","D3",4,6,"F","nonbreeder"
"107",2021,"sept","fall","5.1",5,1,"vaarinkorpi","fed_control","fed","control","219651","1","K3",11,5,"M","breeder"
"108",2021,"sept","fall","5.1",5,1,"vaarinkorpi","fed_control","fed","control","219652","1","K3",11,5,"F","nonbreeder"
"109",2021,"sept","fall","5.3",5,3,"vaarinkorpi","fed_control","fed","control","219652","0","J5",10,10,"F","nonbreeder"
"110",2021,"sept","fall","5.3",5,3,"ketunpesa","unfed_deworm","unfed","deworm","219653","1","I6",9,11,"M","nonbreeder"
"111",2021,"oct","fall","6.1",6,1,"puro","fed_deworm","fed","deworm","219654","1","C1",3,1,"F","nonbreeder"
"112",2021,"sept","fall","5.1",5,1,"vaarinkorpi","fed_control","fed","control","219655","1","B2",2,4,"F","nonbreeder"
"113",2021,"sept","fall","5.3",5,3,"vaarinkorpi","fed_control","fed","control","219655","0","B2",2,4,"F","nonbreeder"
"114",2021,"sept","fall","5.4",5,4,"vaarinkorpi","fed_control","fed","control","219655","0","B2",2,4,"F","nonbreeder"
"115",2021,"sept","fall","5.1",5,1,"hevonen","unfed_control","unfed","control","219656","1","A2",1,3,"F","nonbreeder"
"116",2021,"oct","fall","6.1",6,1,"hevonen","unfed_control","unfed","control","219656","0","B3",2,6,"F","nonbreeder"
"117",2021,"oct","fall","6.3",6,3,"hevonen","unfed_control","unfed","control","219656","0","B2",2,4,"F","nonbreeder"
"118",2021,"sept","fall","5.3",5,3,"kuoppa","fed_control","fed","control","219657","1","D1",4,2,"M","nonbreeder"
"119",2021,"oct","fall","6.1",6,1,"vaarinkorpi","fed_control","fed","control","219658","1","K3",11,5,"F","nonbreeder"
"120",2021,"sept","fall","5.1",5,1,"asema","unfed_control","unfed","control","219659","1","I5",9,9,"M","nonbreeder"
"121",2021,"sept","fall","5.3",5,3,"asema","unfed_control","unfed","control","219659","0","G4",7,7,"M","nonbreeder"
"122",2021,"oct","fall","6.1",6,1,"asema","unfed_control","unfed","control","219659","0","G3",7,5,"M","nonbreeder"
"123",2021,"oct","fall","6.2",6,2,"asema","unfed_control","unfed","control","219659","0","F3",6,6,"M","nonbreeder"
"124",2021,"oct","fall","6.3",6,3,"asema","unfed_control","unfed","control","219659","0","H4",8,8,"M","nonbreeder"
"125",2021,"sept","fall","5.1",5,1,"hevonen","unfed_control","unfed","control","219660","1","A5",1,9,"M","nonbreeder"
"126",2021,"sept","fall","5.3",5,3,"radio","fed_control","fed","control","219661","1","A2",1,3,"F","nonbreeder"
"127",2021,"sept","fall","5.1",5,1,"helmipollo","unfed_control","unfed","control","219662","1","D2",4,4,"M","breeder"
"128",2021,"sept","fall","5.1",5,1,"mustikka","unfed_deworm","unfed","deworm","219663","1","J3",10,6,"F","nonbreeder"
"129",2021,"sept","fall","5.3",5,3,"mustikka","unfed_deworm","unfed","deworm","219663","0","H4",8,8,"F","nonbreeder"
"130",2021,"oct","fall","6.1",6,1,"mustikka","unfed_deworm","unfed","deworm","219663","0","J4",10,8,"F","nonbreeder"
"131",2021,"oct","fall","6.3",6,3,"mustikka","unfed_deworm","unfed","deworm","219663","0","J4",10,8,"F","nonbreeder"
"132",2021,"oct","fall","6.4",6,4,"mustikka","unfed_deworm","unfed","deworm","219663","0","K5",11,9,"F","nonbreeder"
"133",2021,"oct","fall","6.3",6,3,"hevonen","unfed_control","unfed","control","219664","1","B2",2,4,"M","breeder"
"134",2021,"oct","fall","6.3",6,3,"helmipollo","unfed_control","unfed","control","219665","1","A1",1,1,"M","nonbreeder"
"135",2021,"sept","fall","5.2",5,2,"asema","unfed_control","unfed","control","219666","1","K3",11,5,"M","nonbreeder"
"136",2021,"oct","fall","6.3",6,3,"ketunpesa","unfed_deworm","unfed","deworm","219667","1","K5",11,9,"M","nonbreeder"
"137",2021,"oct","fall","6.1",6,1,"puro","fed_deworm","fed","deworm","219669","1","E1",5,1,"M","nonbreeder"
"138",2021,"oct","fall","6.3",6,3,"puro","fed_deworm","fed","deworm","219669","0","E1",5,1,"M","nonbreeder"
"139",2021,"oct","fall","6.4",6,4,"puro","fed_deworm","fed","deworm","219669","0","C1",3,1,"M","nonbreeder"
"140",2021,"oct","fall","6.3",6,3,"puro","fed_deworm","fed","deworm","219670","1","E1",5,1,"F","nonbreeder"
"141",2021,"sept","fall","5.1",5,1,"helmipollo","unfed_control","unfed","control","219671","1","K1",11,1,"F","nonbreeder"
"142",2021,"oct","fall","6.1",6,1,"helmipollo","unfed_control","unfed","control","219672","1","B3",2,6,"F","nonbreeder"
"143",2021,"oct","fall","6.3",6,3,"helmipollo","unfed_control","unfed","control","219672","0","B3",2,6,"F","nonbreeder"
"144",2021,"oct","fall","6.1",6,1,"puro","fed_deworm","fed","deworm","219673","1","K6",11,11,"F","nonbreeder"
"145",2021,"oct","fall","6.3",6,3,"puro","fed_deworm","fed","deworm","219673","0","J5",10,10,"F","nonbreeder"
"146",2021,"oct","fall","6.1",6,1,"vaarinkorpi","fed_control","fed","control","219674","1","A6",1,11,"F","nonbreeder"
"147",2021,"oct","fall","6.3",6,3,"vaarinkorpi","fed_control","fed","control","219674","0","A6",1,11,"F","nonbreeder"
"148",2021,"oct","fall","6.3",6,3,"vaarinkorpi","fed_control","fed","control","219675","1","F1",6,2,"M","nonbreeder"
"149",2021,"oct","fall","6.1",6,1,"puro","fed_deworm","fed","deworm","219676","1","D2",4,4,"M","nonbreeder"
"150",2021,"oct","fall","6.3",6,3,"vaarinkorpi","fed_control","fed","control","219677","1","A1",1,1,"M","nonbreeder"
"151",2021,"oct","fall","6.1",6,1,"ketunpesa","unfed_deworm","unfed","deworm","219678","1","A5",1,9,"F","nonbreeder"
"152",2021,"oct","fall","6.3",6,3,"ketunpesa","unfed_deworm","unfed","deworm","219678","0","D5",4,10,"F","nonbreeder"
"153",2021,"oct","fall","6.4",6,4,"ketunpesa","unfed_deworm","unfed","deworm","219678","0","D5",4,10,"F","nonbreeder"
"154",2021,"sept","fall","5.3",5,3,"radio","fed_control","fed","control","219679","1","K1",11,1,"F","nonbreeder"
"155",2021,"oct","fall","6.1",6,1,"ketunpesa","unfed_deworm","unfed","deworm","219680","1","K5",11,9,"F","nonbreeder"
"156",2021,"oct","fall","6.3",6,3,"ketunpesa","unfed_deworm","unfed","deworm","219680","0","K5",11,9,"F","nonbreeder"
"157",2021,"sept","fall","5.2",5,2,"puro","fed_deworm","fed","deworm","219681","1","D3",4,6,"M","breeder"
"158",2021,"oct","fall","6.3",6,3,"puro","fed_deworm","fed","deworm","219681","0","B3",2,6,"M","breeder"
"159",2021,"sept","fall","5.3",5,3,"radio","fed_control","fed","control","219683","1","I1",9,1,"F","nonbreeder"
"160",2021,"oct","fall","6.3",6,3,"puro","fed_deworm","fed","deworm","219684","1","E5",5,9,"M","nonbreeder"
"161",2021,"sept","fall","5.1",5,1,"vaarinkorpi","fed_control","fed","control","219685","1","E4",5,7,"M","breeder"
"162",2021,"sept","fall","5.4",5,4,"vaarinkorpi","fed_control","fed","control","219685","0","D4",4,8,"M","breeder"
"163",2021,"oct","fall","6.1",6,1,"puro","fed_deworm","fed","deworm","219686","1","E6",5,11,"M","nonbreeder"
"164",2021,"oct","fall","6.1",6,1,"puro","fed_deworm","fed","deworm","219687","1","A1",1,1,"M","nonbreeder"
"165",2021,"sept","fall","5.3",5,3,"radio","fed_control","fed","control","219689","1","K4",11,7,"M","nonbreeder"
"166",2021,"oct","fall","6.3",6,3,"helmipollo","unfed_control","unfed","control","219690","1","G5",7,9,"M","nonbreeder"
"167",2021,"sept","fall","5.3",5,3,"kuoppa","fed_control","fed","control","219691","1","A6",1,11,"F","nonbreeder"
"168",2021,"oct","fall","6.1",6,1,"kuoppa","fed_control","fed","control","219691","0","B5",2,10,"F","nonbreeder"
"169",2021,"sept","fall","5.3",5,3,"hevonen","unfed_control","unfed","control","219692","1","A6",1,11,"M","nonbreeder"
"170",2021,"oct","fall","6.3",6,3,"puro","fed_deworm","fed","deworm","219693","1","J4",10,8,"M","nonbreeder"
"171",2021,"oct","fall","6.3",6,3,"hevonen","unfed_control","unfed","control","219695","1","A1",1,1,"M","nonbreeder"
"172",2021,"sept","fall","5.1",5,1,"vaarinkorpi","fed_control","fed","control","219696","1","D3",4,6,"F","nonbreeder"
"173",2021,"sept","fall","5.3",5,3,"vaarinkorpi","fed_control","fed","control","219696","0","E4",5,7,"F","nonbreeder"
"174",2021,"sept","fall","5.4",5,4,"vaarinkorpi","fed_control","fed","control","219696","0","E4",5,7,"F","nonbreeder"
"175",2021,"oct","fall","6.3",6,3,"talo","fed_deworm","fed","deworm","219697","1","G5",7,9,"M","nonbreeder"
"176",2021,"sept","fall","5.2",5,2,"puro","fed_deworm","fed","deworm","219698","1","C4",3,7,"M","nonbreeder"
"177",2021,"sept","fall","5.3",5,3,"puro","fed_deworm","fed","deworm","219698","0","A4",1,7,"M","nonbreeder"
"178",2021,"oct","fall","6.3",6,3,"helmipollo","unfed_control","unfed","control","219699","1","H1",8,2,"F","nonbreeder"
"179",2021,"oct","fall","6.4",6,4,"helmipollo","unfed_control","unfed","control","219699","0","G1",7,1,"F","nonbreeder"
"180",2021,"sept","fall","5.1",5,1,"talo","fed_deworm","fed","deworm","219700","1","J3",10,6,"M","nonbreeder"
"181",2021,"sept","fall","5.3",5,3,"talo","fed_deworm","fed","deworm","219700","0","I4",9,7,"M","nonbreeder"
"182",2021,"aug","summer","4.1",4,1,"janakkala","fed_deworm","fed","deworm","219701","1","E6",5,11,"F","nonbreeder"
"183",2021,"sept","fall","5.1",5,1,"janakkala","fed_deworm","fed","deworm","219701","0","D5",4,10,"F","nonbreeder"
"184",2021,"sept","fall","5.3",5,3,"janakkala","fed_deworm","fed","deworm","219701","0","I6",9,11,"F","nonbreeder"
"185",2021,"aug","summer","4.3",4,3,"janakkala","fed_deworm","fed","deworm","219702","1","A5",1,9,"F","breeder"
"186",2021,"sept","fall","5.4",5,4,"janakkala","fed_deworm","fed","deworm","219702","0","B4",2,8,"F","breeder"
"187",2021,"oct","fall","6.1",6,1,"kuoppa","fed_control","fed","control","219703","1","C5",3,9,"F","nonbreeder"
"188",2021,"oct","fall","6.3",6,3,"kuoppa","fed_control","fed","control","219703","0","C5",3,9,"F","nonbreeder"
"189",2021,"aug","summer","4.1",4,1,"hevonen","unfed_control","unfed","control","219704","1","C2",3,3,"F","breeder"
"190",2021,"aug","summer","4.1",4,1,"puro","fed_deworm","fed","deworm","219705","1","A6",1,11,"M","breeder"
"191",2021,"aug","summer","4.2",4,2,"janakkala","fed_deworm","fed","deworm","219706","1","B3",2,6,"F","breeder"
"192",2021,"sept","fall","5.1",5,1,"talo","fed_deworm","fed","deworm","219707","1","D1",4,2,"F","nonbreeder"
"193",2021,"sept","fall","5.3",5,3,"talo","fed_deworm","fed","deworm","219707","0","C1",3,1,"F","nonbreeder"
"194",2021,"oct","fall","6.4",6,4,"talo","fed_deworm","fed","deworm","219707","0","F1",6,2,"F","nonbreeder"
"195",2021,"aug","summer","4.1",4,1,"puro","fed_deworm","fed","deworm","219708","1","D1",4,2,"M","nonbreeder"
"196",2021,"sept","fall","5.1",5,1,"puro","fed_deworm","fed","deworm","219708","0","C1",3,1,"M","nonbreeder"
"197",2021,"sept","fall","5.1",5,1,"talo","fed_deworm","fed","deworm","219709","1","D3",4,6,"M","nonbreeder"
"198",2021,"sept","fall","5.3",5,3,"talo","fed_deworm","fed","deworm","219709","0","D3",4,6,"M","nonbreeder"
"199",2021,"oct","fall","6.3",6,3,"talo","fed_deworm","fed","deworm","219709","0","E4",5,7,"M","nonbreeder"
"200",2021,"oct","fall","6.4",6,4,"talo","fed_deworm","fed","deworm","219709","0","C4",3,7,"M","nonbreeder"
"201",2021,"sept","fall","5.1",5,1,"talo","fed_deworm","fed","deworm","219710","1","C3",3,5,"M","nonbreeder"
"202",2021,"sept","fall","5.4",5,4,"talo","fed_deworm","fed","deworm","219710","0","C3",3,5,"M","nonbreeder"
"203",2021,"aug","summer","4.3",4,3,"vaarinkorpi","fed_control","fed","control","219711","1","C6",3,11,"M","nonbreeder"
"204",2021,"aug","summer","4.1",4,1,"hevonen","unfed_control","unfed","control","219712","1","B5",2,10,"M","breeder"
"205",2021,"aug","summer","4.3",4,3,"hevonen","unfed_control","unfed","control","219712","0","C6",3,11,"M","breeder"
"206",2021,"aug","summer","4.4",4,4,"hevonen","unfed_control","unfed","control","219712","0","G6",7,11,"M","breeder"
"207",2021,"sept","fall","5.1",5,1,"hevonen","unfed_control","unfed","control","219712","0","G6",7,11,"M","breeder"
"208",2021,"sept","fall","5.4",5,4,"hevonen","unfed_control","unfed","control","219712","0","F4",6,8,"M","breeder"
"209",2021,"oct","fall","6.1",6,1,"hevonen","unfed_control","unfed","control","219712","0","E6",5,11,"M","breeder"
"210",2021,"oct","fall","6.2",6,2,"hevonen","unfed_control","unfed","control","219712","0","F4",6,8,"M","breeder"
"211",2021,"oct","fall","6.4",6,4,"hevonen","unfed_control","unfed","control","219712","0","E6",5,11,"M","breeder"
"212",2021,"aug","summer","4.1",4,1,"radio","fed_control","fed","control","219713","1","K5",11,9,"M","breeder"
"213",2021,"aug","summer","4.2",4,2,"radio","fed_control","fed","control","219715","1","D5",4,10,"M","breeder"
"214",2021,"aug","summer","4.4",4,4,"radio","fed_control","fed","control","219715","0","C6",3,11,"M","breeder"
"215",2021,"sept","fall","5.1",5,1,"radio","fed_control","fed","control","219715","0","F5",6,10,"M","breeder"
"216",2021,"sept","fall","5.3",5,3,"radio","fed_control","fed","control","219715","0","I6",9,11,"M","breeder"
"217",2021,"oct","fall","6.1",6,1,"radio","fed_control","fed","control","219715","0","F5",6,10,"M","breeder"
"218",2021,"oct","fall","6.2",6,2,"radio","fed_control","fed","control","219715","0","E5",5,9,"M","breeder"
"219",2021,"oct","fall","6.3",6,3,"radio","fed_control","fed","control","219715","0","G6",7,11,"M","breeder"
"220",2021,"aug","summer","4.1",4,1,"janakkala","fed_deworm","fed","deworm","219716","1","D2",4,4,"M","nonbreeder"
"221",2021,"sept","fall","5.1",5,1,"janakkala","fed_deworm","fed","deworm","219716","0","E2",5,3,"M","nonbreeder"
"222",2021,"oct","fall","6.2",6,2,"janakkala","fed_deworm","fed","deworm","219716","0","F1",6,2,"M","nonbreeder"
"223",2021,"sept","fall","5.1",5,1,"talo","fed_deworm","fed","deworm","219717","1","G4",7,7,"M","nonbreeder"
"224",2021,"oct","fall","6.1",6,1,"talo","fed_deworm","fed","deworm","219717","0","F3",6,6,"M","nonbreeder"
"225",2021,"sept","fall","5.1",5,1,"talo","fed_deworm","fed","deworm","219718","1","H1",8,2,"F","nonbreeder"
