site,food_trt,helm_trt
asema,unfed,control
helmipollo,unfed,control
hevonen,unfed,control
ketunpesa,unfed,deworm
kiirastuli,unfed,deworm
mustikka,unfed,deworm
kuoppa,fed,control
radio,fed,control
vaarinkorpi,fed,control
janakkala,fed,deworm
luostari,fed,deworm
puro,fed,deworm
talo,fed,deworm
